SourceSKU,RelationshipType,TargetType,Target,Scope,EvidenceLevel,PublishRule,SourceURL,Notes
CX110P418-TWD,MEMBER_OF,PRODUCT_FAMILY,CX110P,Exact,Authorized distributor active assembly list,Yes,https://www.pjpower.com/products/twin-disc/ptos/cx110p,CX110P418 appears in active BOM/assembly numbers.
CX110P418-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P418-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P418-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P418-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX110P418-TWD,APPLICATION_CLUSTER,APPLICATION,Sewer / vacuum trucks,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
CX108P405-TWD,MEMBER_OF,PRODUCT_FAMILY,CX108P / C108HP4,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,Part list identifies CX108P405 as C108HP4 MD3 BB 305 SB.
CX108P405-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P405-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P405-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P405-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
SP314C006-TWD,PART_DEFINITION,PART_TYPE,SP314 3.25TA M SIN BB S697 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP314C006-TWD,MEMBER_OF,PRODUCT_FAMILY,SP314,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP314C006-TWD,APPLICATION_CLUSTER,APPLICATION,Dredging / irrigation,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C006-TWD,APPLICATION_CLUSTER,APPLICATION,Crane / hoisting,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C006-TWD,APPLICATION_CLUSTER,APPLICATION,Recycling / metal shredding,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C006-TWD,APPLICATION_CLUSTER,APPLICATION,Aggregate / jaw crushing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C006-TWD,APPLICATION_CLUSTER,APPLICATION,Compressors,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314S120-TWD,MEMBER_OF,PRODUCT_FAMILY,SP314SB1,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,"SP314S120 = SP314SB1 SIN BB, no pilot bearing, with auxiliary shaft."
SP314S120-TWD,CONFIGURATION,TECHNICAL,Sintered; ball-bearing throwout; no pilot bearing; auxiliary shaft,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP314S120-TWD,APPLICATION_CLUSTER,APPLICATION,Dredging / irrigation,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314s,
SP314S120-TWD,APPLICATION_CLUSTER,APPLICATION,Crane / hoisting,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314s,
SP314S120-TWD,APPLICATION_CLUSTER,APPLICATION,Recycling / metal shredding,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314s,
SP314S120-TWD,APPLICATION_CLUSTER,APPLICATION,Aggregate / jaw crushing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314s,
SP314S120-TWD,APPLICATION_CLUSTER,APPLICATION,Compressors,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314s,
SP211C006-TWD,PART_DEFINITION,PART_TYPE,SP211 2.30TA D MD1 BB S745 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP211C006-TWD,MEMBER_OF,PRODUCT_FAMILY,SP211,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP211C006-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Gear Products 600-30063-1,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211C006-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Morbark 24541-258,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211C006-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Terex 04U421V3609,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP211C006-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-6943-78,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp211p,
SP111C006-TWD,PART_DEFINITION,PART_TYPE,SP111 2.00TA C MD1 BB S670 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP111C006-TWD,MEMBER_OF,PRODUCT_FAMILY,SP111,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP111C006-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-6944-34,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp111p,
A6518A-TWD,PART_DEFINITION,PART_TYPE,Drive Ring,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
A6518A-TWD,USED_IN_EQUIPMENT,EQUIPMENT_MODEL,Bandit Beast 3680 — Twin Disc SP314SB1 PTO,Exact,Equipment manual,Yes,https://www.stephensonequipment.com/wp-content/uploads/2023/08/bandit-beast-grinder-3680.pdf,"Manual lists A6518A as Ring, Driving in SP314SB1 clutch components."
A6518A-TWD,COMPONENT_OF,PRODUCT_FAMILY,SP314SB1 (documented equipment installation),Exact-equipment,Equipment manual,Yes,https://www.stephensonequipment.com/wp-content/uploads/2023/08/bandit-beast-grinder-3680.pdf,
CX107P405-TWD,MEMBER_OF,PRODUCT_FAMILY,CX107P,Exact,Authorized distributor active assembly list,Yes,https://www.pjpower.com/products/twindisc/ptos/cx107p,
CX107P405-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx107p,
CX107P405-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx107p,
CX107P405-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx107p,
CX107P405-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx107p,
CX110C005-TWD,PART_DEFINITION,PART_TYPE,C110 1.75TA A MD3 BB S644 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
CX110C005-TWD,MEMBER_OF,PRODUCT_FAMILY,CX110,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
CX110C005-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Vermeer 603643003,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twin-disc/ptos/cx110p,
SP314C002-TWD,PART_DEFINITION,PART_TYPE,SP314 3.25TA M MD1 BB S697 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP314C002-TWD,MEMBER_OF,PRODUCT_FAMILY,SP314,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP314C002-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-1914-95,Exact-part / secondary-xref,Specialist reseller,Review,https://www.earthsaverparts.com/twin-disc-sp314-clutch-pack/,"Useful search cross-reference, but re-verify before publishing as an OEM equivalence claim."
SP314C002-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-6917-10,Exact-part / secondary-xref,Specialist reseller,Review,https://www.earthsaverparts.com/twin-disc-sp314-clutch-pack/,"Useful search cross-reference, but re-verify before publishing as an OEM equivalence claim."
SP314C002-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Morbark 24542-628,Exact-part / secondary-xref,Specialist reseller,Review,https://www.earthsaverparts.com/twin-disc-sp314-clutch-pack/,"Useful search cross-reference, but re-verify before publishing as an OEM equivalence claim."
SP314C002-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Vermeer 156154001,Exact-part / secondary-xref,Specialist reseller,Review,https://www.earthsaverparts.com/twin-disc-sp314-clutch-pack/,"Useful search cross-reference, but re-verify before publishing as an OEM equivalence claim."
SP314C002-TWD,APPLICATION_CLUSTER,APPLICATION,Dredging / irrigation,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C002-TWD,APPLICATION_CLUSTER,APPLICATION,Crane / hoisting,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C002-TWD,APPLICATION_CLUSTER,APPLICATION,Recycling / metal shredding,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C002-TWD,APPLICATION_CLUSTER,APPLICATION,Aggregate / jaw crushing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
SP314C002-TWD,APPLICATION_CLUSTER,APPLICATION,Compressors,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp314p,
IT1071028B-TWD,PART_DEFINITION,PART_TYPE,Input assembly — SAE #3 / 11.5-inch flywheel,Exact,Official Twin Disc drawing,Yes,https://twindisc.com/downloads/1029015K.pdf,
IT1071028B-TWD,COMPONENT_OF,PRODUCT_FAMILY,AM220 pump drive,Exact,Official Twin Disc drawing,Yes,https://twindisc.com/downloads/1029015K.pdf,
IT1071028B-TWD,APPLICATION_CLUSTER,APPLICATION,Hydraulic pump-drive systems,Family/technical,Official product family,Family-only,https://twindisc.com/product/am-220/,
IT1071028B-TWD,APPLICATION_CLUSTER,APPLICATION,Industrial / mobile machinery,Family/technical,Official product family,Family-only,https://twindisc.com/product/am-220/,
IT1071028B-TWD,APPLICATION_CLUSTER,APPLICATION,Drilling / service equipment,Family/technical,Official product family,Family-only,https://twindisc.com/product/am-220/,
SP318C003-TWD,PART_DEFINITION,PART_TYPE,SP318 4.30TA F MD1 BB S777 clutch assembly,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP318C003-TWD,MEMBER_OF,PRODUCT_FAMILY,SP318,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
SP318C003-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Terex 70012123,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Vermeer 154820001,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-6914-08,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Trelan 00CLU-398,Exact,Authorized distributor,Yes,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,APPLICATION_CLUSTER,APPLICATION,Dredging / irrigation,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,APPLICATION_CLUSTER,APPLICATION,Crane / hoisting,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,APPLICATION_CLUSTER,APPLICATION,Recycling / metal shredding,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,APPLICATION_CLUSTER,APPLICATION,Aggregate / jaw crushing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp318p,
SP318C003-TWD,APPLICATION_CLUSTER,APPLICATION,Compressors,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/sp318p,
6926E-TWD,PART_DEFINITION,PART_TYPE,Drive Ring,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
6926E-TWD,USED_IN_EQUIPMENT,EQUIPMENT_MODEL,Bandit Beast 3680 Track — Twin Disc SP318SBO PTO,Exact,Equipment manual,Yes,https://www.stephensonequipment.com/wp-content/uploads/2023/08/bandit-beast-grinder-3680T-Tracked.pdf,Corrected from the earlier V3 note that referenced the 2680.
6926E-TWD,OEM_CROSS_REFERENCE,OEM_PART_NUMBER,Bandit 900-1915-13,Secondary,Equipment-parts retailer,Review,https://shop.moderngroup.com/900-1915-13-clutch-drive-ring-for-318-twin-disc-6926e/,
6926E-TWD,SUPERSEDED_BY,OEM_PART_NUMBER,Bandit 900-6955-20,Secondary,Equipment-parts retailer,Review,https://shop.moderngroup.com/900-1915-13-clutch-drive-ring-for-318-twin-disc-6926e/,
O5499E-TWD,PART_DEFINITION,PART_TYPE,Sintered friction disc,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
O5499E-TWD,COMPONENT_OF,PRODUCT_FAMILY,IBF314 / IB314P,Exact,Authorized Twin Disc dealer,Yes,https://www.dieselpartsdirect.com/tdo5499e,
O5499E-TWD,APPLICATION_CLUSTER,APPLICATION,Vertical-shaft impact crushers,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
O5499E-TWD,APPLICATION_CLUSTER,APPLICATION,Tub grinders,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
O5499E-TWD,APPLICATION_CLUSTER,APPLICATION,Rock crushers,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
5659P-TWD,PART_DEFINITION,PART_TYPE,14-inch friction / drive plate,Exact,Authorized parts list/dealer,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
5659P-TWD,COMPONENT_OF,PRODUCT_FAMILY,IBF314 / IB314P,Exact,Authorized Twin Disc dealer,Yes,https://www.dieselpartsdirect.com/twin-disc-ibf314-power-take-offs-parts,
5659P-TWD,AFTERMARKET_CROSS_REFERENCE,AFTERMARKET_PART_NUMBER,WPT W14-07-901,Exact cross-reference,WPT manufacturer table,Yes,https://www.cohortmfg.com/industrial/wp-content/uploads/2025/03/WPT-Friction-Discs.pdf,WPT table cross-references Twin Disc 5659A & 5659P.
5659P-TWD,APPLICATION_CLUSTER,APPLICATION,Vertical-shaft impact crushers,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
5659P-TWD,APPLICATION_CLUSTER,APPLICATION,Tub grinders,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
5659P-TWD,APPLICATION_CLUSTER,APPLICATION,Rock crushers,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/ib314p,
A5579D-TWD,PART_DEFINITION,PART_TYPE,Friction Disc MD1 / solid drive plate,Exact,Authorized parts list/dealer,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,
A5579D-TWD,COMPONENT_OF,PRODUCT_FAMILY,SP111 / SP111HP3,Exact,Authorized Twin Disc dealer,Yes,https://www.dieselpartsdirect.com/twin-disc-sp111-power-take-offs-parts,
A5579D-TWD,AFTERMARKET_CROSS_REFERENCE,AFTERMARKET_PART_NUMBER,WTD-11-001,Secondary,Aftermarket supplier,Review,https://ca.fridayparts.com/72-teeth-11-fiber-clutch-disk-wtd-11-001-a5579d-for-twin-disc-power-take-off-c111-sp111-spe211,
A5579D-TWD,AFTERMARKET_CROSS_REFERENCE,AFTERMARKET_PART_NUMBER,Tribco G-1225-6,Secondary,Aftermarket manufacturer,Review,https://www.tribco.com/PartsList.php?Make=Twin+Disc,
A5579D-TWD,POSSIBLE_COMPATIBILITY,PRODUCT_FAMILY,SP211 / SP211HP3,Secondary,Aftermarket supplier,No,https://ca.fridayparts.com/72-teeth-11-fiber-clutch-disk-wtd-11-001-a5579d-for-twin-disc-power-take-off-c111-sp111-spe211,Do not publish SP211 compatibility until independently verified.
CX108P305-TWD,MEMBER_OF,PRODUCT_FAMILY,CX108P / C108HP3,Exact,Authorized parts list,Yes,https://static.pjpower.com/document_library/Twin-Disc-Part-List-0821.pdf,Part list identifies CX108P305 as C108HP3 MD3 BB 305 SB.
CX108P305-TWD,APPLICATION_CLUSTER,APPLICATION,Pumps,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P305-TWD,APPLICATION_CLUSTER,APPLICATION,Oil & gas / industrial power,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P305-TWD,APPLICATION_CLUSTER,APPLICATION,Forestry / wood processing,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
CX108P305-TWD,APPLICATION_CLUSTER,APPLICATION,Conveyors / compressors / blowers / fans,Family,Authorized distributor,Family-only,https://www.pjpower.com/products/twindisc/ptos/cx108p,
